AFS,Gender,MS,Origin,POB,LocLang,IntLang,BornWar,Religion,SecondarySchool,NationalExamGrade,Degree,Specialisation,GradeIT,UniversityType,InstitutionNature,InstitutionLocation,SchoolWar,Fees,Funding,UniversityReliable,UnivPromoteEmploy,Internship,ExperienceYears,SpecialisationCompetence,ITCompetence,GraduateComSkill,PhysicalDisability,PsychoDisability,SleepingTime,Family,Father,Mother,PoliticianFam,AdminstrativeFam,CompanyFam,Relatives,MaritalRequirement,HomePandemic,HomeEpidemic,SchoolPandemic,SchoolEpidemic,Employed
between 25 and 27 years,Male,Single,Mungala,Village,Two,Two,No,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Networking,Great Distinction (80%-89%),Catholic,University,Town,No,Between $500 and $1000,Parents' finances,Yes,No,Yes,5.0,Mastery,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,No,No,Nothing,No,No,No,No,Yes
between 23 and 25 years,Male,Single,Mungala,Capital City(Kinshasa),Three,Two,No,Protestant,Math-Physics,Satisfaction (50%-69%),Master,Mathematics and Computing,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,No,Married,No,No,No,No,No
between 23 and 25 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,Three,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Business and IT,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,2.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Poor,No,Yes,No,No,Yes,No,Nothing,Yes,No,Yes,Yes,Yes
between 27 and 29 years,Male,Single,Muswahili,Rural municipality,Three,One,Yes,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Data Science,Satisfaction (50%-69%),Other,University,Town,Yes,Less than $500,Family Finances,No,No,No,2.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,No,Nothing,No,Yes,No,Yes,No
between 23 and 25 years,Male,Single,Mungala,Town,One,One,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,No,No,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,No,No,Nothing,Yes,Yes,Yes,No,No
between 29 and 31 years,Male,Single,Muluba,Town,Three,Two,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Public,College,Capital City(Kinshasa),No,Less than $500,Own funds,Yes,Yes,Yes,5.0,Average,Average,High,No,No,Before 10 pm,Medium,Yes,No,No,Yes,Yes,No,Nothing,Yes,No,Yes,No,No
between 21 and 23 years,Male,Married,Mukongo,Capital City(Kinshasa),Two,Two,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Bachelor,Networking,Satisfaction (50%-69%),Private,University,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,Yes,No,No,3.0,Mastery,Mastery,High,No,No,After midnight,Medium,Yes,No,No,Yes,Yes,No,Nothing,Yes,No,Yes,No,Yes
between 21 and 23 years,Female,Single,Muswahili,Town,Two,One,Yes,Catholic,Commerce,Satisfaction (50%-69%),Master,Computer Engineering,Distinction (70%-79%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,1.0,Mastery,Average,Medium,No,No,Between 10 pm and midnight,Poor,No,No,No,No,Yes,Yes,Single,No,No,No,No,No
between 25 and 27 years,Male,Single,Muswahili,Town,Three,Two,Yes,Catholic,Industrial Technique,Satisfaction (50%-69%),Master,Computer Engineering,Satisfaction (50%-69%),Public,University,Town,Yes,Less than $500,Parents' finances,No,No,No,11.0,Average,Average,Medium,No,No,Before 10 pm,Poor,No,No,No,No,Yes,No,Nothing,Yes,Yes,Yes,Yes,No
between 21 and 23 years,Male,Single,Mungala,Capital City(Kinshasa),One,One,No,Evangelical,,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,3.0,Below average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,No,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,No
